expert,key,symbol,timeframe,model,accuracy,precision,recall,f1,auc,n_samples,sharpe,max_drawdown,win_rate,total_return,n_predictions,n_windows
gap_expert,lightgbm_EURUSD_M5,EURUSD,M5,lightgbm,0.9250246629398224,0.0,0.0,0.0,0.5,18246,0.0,0.0,0.0,0.0,18246,3
gap_expert,lightgbm_EURUSD_M30,EURUSD,M30,lightgbm,0.8218954248366013,0.0,0.0,0.0,0.5,3060,0.0,0.0,0.0,0.0,3060,3
gap_expert,lightgbm_EURUSD_H1,EURUSD,H1,lightgbm,0.6673215455140799,0.0,0.0,0.0,0.5,1527,0.0,0.0,0.0,0.0,1527,3
gap_expert,lightgbm_GOLD_M15,GOLD,M15,lightgbm,0.5236111111111111,0.5291666666666667,0.3557422969187675,0.42546063651591287,0.5222237655392736,720,0.30248888308352473,-395911661.36445975,0.5125,0.03285931413873433,720,3
gap_expert,lightgbm_EURUSD_H4,EURUSD,H4,lightgbm,0.5943775100401606,0.34375,0.12087912087912088,0.17886178861788618,0.4939838642370288,249,0.3286838503329504,-1.3522690495877432,0.5333333333333333,0.004963169607253182,249,3
gap_expert,lightgbm_GOLD_M30,GOLD,M30,lightgbm,0.4909560723514212,0.4909560723514212,1.0,0.658578856152513,0.5,387,0.005270190409718962,-47004751.634012185,0.5518134715025906,-0.001649361332915933,387,3
gap_expert,lightgbm_GOLD_M5,GOLD,M5,lightgbm,0.7654512988883129,0.0,0.0,0.0,0.5,17361,0.0,0.0,0.0,0.0,17361,3
gap_expert,lightgbm_GOLD_H4,GOLD,H4,lightgbm,0.5757575757575758,0.5757575757575758,1.0,0.7307692307692307,0.5,99,-0.26255862120308865,-29976986.17203337,0.5,-0.0429139046794782,99,3
gap_expert,lightgbm_GOLD_H1,GOLD,H1,lightgbm,0.49099099099099097,0.49099099099099097,1.0,0.6586102719033232,0.5,222,-0.08952740649410096,-2.762764713035386,0.5203619909502263,-0.013774505642008217,222,3
gap_expert,random_forest_EURUSD_H1,EURUSD,H1,random_forest,0.6679764243614931,1.0,0.001968503937007874,0.003929273084479371,0.5009842519685039,1527,0.2457149195217916,0.0,1.0,0.0002387530270473448,1527,3
gap_expert,random_forest_EURUSD_M5,EURUSD,M5,random_forest,0.924915049873945,0.0,0.0,0.0,0.49994075127384763,18246,0.29999241527648546,0.0,1.0,0.0005609370235792888,18246,3
gap_expert,random_forest_EURUSD_M30,EURUSD,M30,random_forest,0.8218954248366013,0.0,0.0,0.0,0.5,3060,0.0,0.0,0.0,0.0,3060,3
gap_expert,random_forest_EURUSD_M15,EURUSD,M15,random_forest,0.811693614241385,0.3333333333333333,0.0008680555555555555,0.0017316017316017316,0.5002328610105277,6123,-0.17828249816095026,-3918789.3964642836,0.3333333333333333,-0.00023211788194876792,6123,3
gap_expert,random_forest_EURUSD_H4,EURUSD,H4,random_forest,0.5903614457831325,0.34285714285714286,0.13186813186813187,0.19047619047619047,0.49314925580748364,249,-0.07008472707257304,-1.1624904435463577,0.5,-0.0014469408830499741,249,3
gap_expert,random_forest_GOLD_M30,GOLD,M30,random_forest,0.4909560723514212,0.4909560723514212,1.0,0.658578856152513,0.5,387,0.005270190409718962,-47004751.634012185,0.5518134715025906,-0.001649361332915933,387,3
gap_expert,random_forest_GOLD_M15,GOLD,M15,random_forest,0.5236111111111111,0.5291666666666667,0.3557422969187675,0.42546063651591287,0.5222237655392736,720,0.30248888308352473,-395911661.36445975,0.5125,0.03285931413873433,720,3
gap_expert,random_forest_GOLD_H1,GOLD,H1,random_forest,0.49099099099099097,0.49099099099099097,1.0,0.6586102719033232,0.5,222,-0.08952740649410096,-2.762764713035386,0.5203619909502263,-0.013774505642008217,222,3
gap_expert,random_forest_GOLD_H4,GOLD,H4,random_forest,0.5757575757575758,0.5757575757575758,1.0,0.7307692307692307,0.5,99,-0.26255862120308865,-29976986.17203337,0.5,-0.0429139046794782,99,3
gap_expert,random_forest_GOLD_M5,GOLD,M5,random_forest,0.7649328955705317,0.15384615384615385,0.0004911591355599214,0.0009791921664626683,0.4998317034296206,17361,-0.1989837825691768,-4.751117071851235,0.46153846153846156,-0.0029496273910450954,17361,3
hvn_expert,xgboost_EURUSD_M5,EURUSD,M5,xgboost,0.9249698564068837,0.3333333333333333,0.0007309941520467836,0.0014587892049598833,0.500306248349871,18246,-0.016339602940862036,-1213476.52356385,0.6666666666666666,-9.720222154729896e-06,18246,3
hvn_expert,xgboost_EURUSD_M15,EURUSD,M15,xgboost,0.8107137024334476,0.1111111111111111,0.0008680555555555555,0.0017226528854435831,0.4996293607087776,6123,0.1372874610289433,-0.6356477842301139,0.6666666666666666,0.0012990704412714216,6123,3
hvn_expert,xgboost_EURUSD_M30,EURUSD,M30,xgboost,0.8179738562091503,0.125,0.003669724770642202,0.0071301247771836,0.49905156218651386,3060,0.21396297984725413,-0.6209752398149946,0.6875,0.000849714988589767,3060,3
hvn_expert,xgboost_EURUSD_H1,EURUSD,H1,xgboost,0.6607727570399476,0.41935483870967744,0.051181102362204724,0.0912280701754386,0.507926174341063,1527,-0.01926041151623972,-2.33480237487561,0.4918032786885246,-0.0004129849306253597,1527,3
hvn_expert,xgboost_EURUSD_H4,EURUSD,H4,xgboost,0.606425702811245,0.3870967741935484,0.13186813186813187,0.19672131147540983,0.5058074836555849,249,0.03425666829378086,-1.6875568881861844,0.4482758620689655,0.0006634770560323133,249,3
hvn_expert,xgboost_GOLD_M15,GOLD,M15,xgboost,0.5041666666666667,0.5,0.38095238095238093,0.43243243243243246,0.5031483667847304,720,0.15961461840573618,-44.77152932998013,0.5,0.016388928725868057,720,3
hvn_expert,xgboost_GOLD_M30,GOLD,M30,xgboost,0.40568475452196384,0.4230769230769231,0.5789473684210527,0.4888888888888889,0.4087630243120492,387,-0.17087064270823177,-47004751.634012185,0.5230769230769231,-0.02250908823335307,387,3
hvn_expert,xgboost_GOLD_M5,GOLD,M5,xgboost,0.7654512988883129,0.5,0.0012278978388998035,0.002449779519843214,0.5004258234021047,17361,0.35199977396223936,-0.49177501602067225,0.7,0.005123909782717151,17361,3
hvn_expert,xgboost_GOLD_H1,GOLD,H1,xgboost,0.5045045045045045,0.4975845410628019,0.944954128440367,0.6518987341772152,0.512300073069741,222,-0.05415415469857948,-2.862863634114204,0.5242718446601942,-0.009340013616832676,222,3
hvn_expert,xgboost_GOLD_H4,GOLD,H4,xgboost,0.6060606060606061,0.6,0.9473684210526315,0.7346938775510204,0.5451127819548872,99,-0.6811981470804633,-207337030.6110067,0.4943820224719101,-0.08911633449164147,99,3
hvn_expert,lightgbm_EURUSD_M5,EURUSD,M5,lightgbm,0.9248602433410062,0.0,0.0,0.0,0.49991112691077144,18246,0.017438509015603683,-0.9125664563916688,0.3333333333333333,2.6406442921400597e-05,18246,3
hvn_expert,lightgbm_EURUSD_M30,EURUSD,M30,lightgbm,0.8176470588235294,0.11764705882352941,0.003669724770642202,0.0071174377224199285,0.49885275502945625,3060,-0.530037682464326,-1815101.6456924295,0.23529411764705882,-0.005495116458816174,3060,3
hvn_expert,lightgbm_EURUSD_M15,EURUSD,M15,lightgbm,0.8108770210681039,0.25,0.0026041666666666665,0.005154639175257732,0.500396832880708,6123,0.23798518147546394,-0.41235406130020813,0.5833333333333334,0.0019887969023757446,6123,3
hvn_expert,lightgbm_EURUSD_H1,EURUSD,H1,lightgbm,0.6653569089718402,0.46511627906976744,0.03937007874015748,0.07259528130671507,0.5083994652778314,1527,0.423911262601083,-0.2903926923719052,0.5952380952380952,0.006202781695813009,1527,3
hvn_expert,lightgbm_EURUSD_H4,EURUSD,H4,lightgbm,0.606425702811245,0.3157894736842105,0.06593406593406594,0.10909090909090909,0.49182779246070385,249,0.28172128442489186,-24433433.791353207,0.6111111111111112,0.0050436148548194115,249,3
hvn_expert,lightgbm_GOLD_M15,GOLD,M15,lightgbm,0.5,0.4950166112956811,0.4173669467787115,0.45288753799392095,0.49931708220478277,720,0.07437249641245744,-15.202154673927062,0.49333333333333335,0.007589152060835325,720,3
hvn_expert,lightgbm_GOLD_M30,GOLD,M30,lightgbm,0.4134366925064599,0.4312267657992565,0.6105263157894737,0.5054466230936819,0.4169382847982902,387,0.1449370227340879,-3.328966497538086,0.5427509293680297,0.016680025835855483,387,3
hvn_expert,lightgbm_GOLD_H1,GOLD,H1,lightgbm,0.4954954954954955,0.4930232558139535,0.9724770642201835,0.654320987654321,0.5039376471543396,222,0.037899916232691004,-2.319929904845817,0.5233644859813084,0.0015884117355260408,222,3
hvn_expert,lightgbm_GOLD_M5,GOLD,M5,lightgbm,0.7651056966764588,0.425,0.004174852652259332,0.008268482490272374,0.5012220489463418,17361,0.03177976654660387,-23734842.399936173,0.4,0.0005597885956971638,17361,3
hvn_expert,lightgbm_GOLD_H4,GOLD,H4,lightgbm,0.5858585858585859,0.5816326530612245,1.0,0.7354838709677419,0.5119047619047619,99,-0.25372156583244143,-29976986.17203337,0.5051546391752577,-0.04177008194831011,99,3
hvn_expert,random_forest_EURUSD_H1,EURUSD,H1,random_forest,0.6555337262606418,0.36363636363636365,0.047244094488188976,0.08362369337979095,0.503013607597382,1527,0.07842842191561906,-5208649.831152101,0.5538461538461539,0.002257094306896912,1527,3
